;tweet;retweet;favoritos
28;"A foto postada ontem era de meu apt em SP. Não tenho nem nunca tive propriedade fora do Brasil, fake news. Repetem, repetem a ver se a notícia « pega ». É mentira; repito: se encontrarem vestígios de apt.ou propriedade minha no exterior, passo já a escritura a quem a achar.";698;5870
29;A desinformação é péssima conselheira, sobretudo vinda dos poderosos: na foto do Twitter do Pr eleito eu apareço lendo um livro de exPremier da China, deposto e preso, em que critica o regime. Isso aparece como”prova” de que sou comunista. Só faltava essa. Cruz, credo!;4376;28166
30;No governo Itamar o grande problema a enfrentar era a inflação. Ministro, me dispus com apoio do Presidente a vence-la. Conseguimos com o Real. Hoje há 2 questões: o déficit público e o crime organizado, inclusive a corrupção. Mãos à obra, como meu programa eleitoral dizia.;323;3431
31;Moro na Justiça. Homem sério. Preferia vê-no STF, talvez uma etapa. Fusões de ministérios sim, com prudência. Já vimos fracassos colloridos. Torço pelo melhor, temo que não, sem negativismos nem adesismos. A corrupção arruina s política e o país. Se Moro a combater ajudará o país;1663;11961
32;Amanhã vou a Lisboa. Reunião do board da Fundaçao Champalimaud. Na próxima semana, Madri: Foro Ibero-americano, co presido com Lagos. Por aquí só especulações sobre o novo governo. Melhor esperar e torcer para o Brasil dar certo. Com crítica construtiva, sem adesão oportunística.;212;2978
33;Meu artigo sobre as eleições publicado hoje no @TheWorldPost https://t.co/4GSX08Nyxl;234;890
34;"Ganhe quem ganhar, os problemas são iguais:voltar a crescer e criar empregos. Reduzir o déficit e trazer confiança. Constituição respeitada, a maioria prevalece mas respeita a minoria, aceita a diversidade; segurança para todos. Menos arrogância, mais competência. São meus votos.";2175;12507
35;Há um lado horroroso do mundo novo, o da conexão: notícias fakes, com minha foto e tudo, afirmam que declarei apoio a um dos candidatos presidenciais. Mentira. O que penso declaro no Twitter e na mídia. Por ora disse que no Bolsonaro não voto e dei as razões. Nada além disso.;1032;7264
36;Intimidações a pessoas, jornais ou a quem seja são inadmissíveis. Repudio ameaças à Folha e seus jornalistas, com energia . Os democratas, apoiem um candidato ou outro, votem em branco ou nulo têm o país, o respeito à divergência e a liberdade  de pensamento acima de tudo.;1953;11388
37;Inacreditável: um candidato à Presidência pedir às pessoas que se ajustem ao que ele pensa ou pagarão o preço: cadeia ou exílio. Lembra outros tempos. O que o Brasil precisa é de coesão no rumo do crescimento e diminuição da desigualdade.;22075;70856
38;As declarações do dep. E Bolsonaro merecem repudio dos democratas. Prega a ação direta, ameaça o STF. Não apoio chicanas contra os vencedores, mas estas cruzaram a linha, cheiram a fascismo. Têm meu repúdio, como quaisquer outras, de qualquer partido, contra leis, a Constituição.;12284;43349
39;Há em circulação um manifesto de  democratas progressistas. Bem-vindo. Com a provável eleição de Bolsonaro  precisaremos mais ainda de defensores da democracia, para impedir que ele  (ou quem vier a vencer) tente sair do rumo constitucional.;921;6244
40;Declarei, respondendo ao repórter, que há ferrugem nas dobradiças da porta de apoio ao PT.Disse também que me juntarei a quem se opuser a arbitrariedades do futuro governo, se tentar praticá-las. Sem eleitoralismo, com coerência,sou pela Constituição, por maior igualdade @fek .;138;1446
41;"Recebi hoje o prêmio “guerreiro da educação” dado pelo Centro Integração Escola-Empresa. Ruth foi a primeira a receber em 1997. Cada vez mais a era é tecnológica; cada vez mais precisa de valores: liberdade, democracia e igualdade. São as portas abertas para o futuro.";102;1090
42;"Hoje é dia do professor e das professoras. Comecei a dar aulas aos 19 anos: lá se vão quase 70 anos! Fui político; sou professor. Continuo gostando de falar com os jovens. Profissão sofrida e em geral mal paga. Meu abraço afetuoso a todos. Coragem e dedicação é o que os move.";139;1827
43;https://t.co/gzMs1BY1Kf;130;651
44;Intervalo para a sensibilidade: na Osesp, com o violinista Feng e o artista Weiwei, duas grandes expressões da China atual. https://t.co/ZfGUscFBeP;32;648
45;A marcha da insensatez continua. A despeito das belas palavras de respeito à Constituição (que o vento leva) ditas pelos dois candidatos. Assassina-se líder afro na Bahia e se ameaçam jornalistas. Quem protesta? Não me calo e não me calarei contra desmandos, ganhe quem ganhar.;569;3055
46;Há fake news dizendo que não apoio o Anastasia para governador de Minas. Quem mais sério e competente do que ele? Minas e o PSDB precisam da vitória de Anastasia. Se fosse eleitor mineiro, votaria nele com convicção.;121;796
47;A história as vezes abre caminhos a golpes de machado. Muitos dos que mandavam no Congresso caíram nas eleições, um tsunami. Novo não quer dizer melhor, mas diferente. O horror à corrupção levou de roldão bons e maus. O futuro é incerto. O pasado, contudo, não volta.;351;1986
48;As redes divulgam que apoiarei Haddad. Mentira: nem o PT nem Bolsonaro explicitaram compromisso com o que creio. Por que haveria de me pronunciar sobre candidaturas que ou são contra ou não se definem sobre temas que prezo para o país e o povo?;1263;5287
