;tweet;retweet;favoritos
34;RT @ptbrasil: Movimentos populares e centrais sindicais estão nas ruas por todos os cantos do país em defesa da aposentadoria. Acompanhe e…;331;0
35;"RT @Brasil_de_Fato: ""Tem um gigante ali dentro"", disse o juiz Edevaldo de Medeiros, impressionado após a visita a Lula. #BrasildeFato https…";511;0
36;RT @ptbrasil: #AOVIVO |  Juiz Dr. Edevaldo  de Medeiros fala sobre a visita ao presidente Lula, em Curitiba.  #LulaPresoPolítico #LulaLivre…;413;0
37;Perto do horário em que tradicionalmente é realizado o “Boa Noite, presidente Lula”, um grupo de policiais militares fortemente armados, sem ordem judicial, promoveu uma tentativa de despejo da Vigília, que ocorre em terreno privado. https://t.co/IYY42T5Kfq;1691;5448
38;Instituições poderosas como o MP e a PF não podem ficar fazendo espetáculo. Todo aquele que cometer um crime, se o crime for provado, tem que ser punido. Seja o Temer, ou o Lula. Seja o FHC ou o Bolsonaro. Ninguém pode ser preso sem o devido processo legal. #RecadoDoLula;1688;8338
39;A Lava Jato tenta desviar a atenção do descrédito em que estava caindo e do fundo de 2,5 bilhões que negociaram com os EUA. A Força Tarefa não precisa de pirotecnia para sobreviver, precisa de sobriedade. #RecadoDoLula;2410;11064
40;"Juízes manifestam solidariedade a Lula contra arbitrariedades no processo que prendeu o ex-presidente; Edevaldo de Medeiros, juiz federal da 1a Vara de Itapeva, relata visita  #LulaLivreJá  https://t.co/YXlEsZhSl2";409;1535
41;"RT @MissAddamsW: 1) (thread das fake news do BNDES). Uma das fake news mais propagadas no Brasil é a que afirma que o ""BNDES financiou dita…";851;0
42;#Assista e compartilhe o primeiro vídeo da Campanha Lula Livre, convocando a Jornada Mundial Lula Livre, de 7 a 10 de abril, nas principais cidades do Brasil e do mundo. #Lulalivre #TimeLula https://t.co/moAGotDUXo;376;1151
43;Nota da defesa: https://t.co/yX3cHtwKfn;297;983
44;O ex-presidente receberá um representante do grupo. https://t.co/S0aV1RAQyu;1242;5559
45;Um presidente que não respeita a soberania da nação que representa. Bolsonaro não está a serviço do povo brasileiro. #timeLula https://t.co/NLgxolUn5o;1152;5564
46;"2) Defesa aponta também outro fato novo: Léo Pinheiro, preso por Moro que acusou Lula sem provas, pagou 6 milhões para executivos da OAS ""ajustarem"" depoimentos. https://t.co/sMMH7LLIM7";802;2097
47;1) Acordo fechado entre Lava Jato, Petrobrás e Estados Unidos não aponta nenhum crime de Lula e empresa assume responsabilidade pelos desvios. Defesa quer que documento, assinado pela Lava Jato, seja analisado pela STJ no caso do tríplex. https://t.co/sMMH7LLIM7;1001;3052
48;Anote na agenda. Dia 7 de abril. Todos em Curitiba pela liberdade de Lula. #LulaLivreJá https://t.co/bRhK2NBoCU;228;831
49;Da Laerte.  Via Comitê Nacional Lula Livre https://t.co/WKxZWzKVDB;1152;4868
50;Armação premiada:Novo depoimento de Palocci sem provas e MPF pede para ele esconder da câmera folha com anotações em depoimento. #timeLula #Lulalivre https://t.co/NuF3kKtsD8;1256;3089
51;"“A alegação do réu não basta. Você precisa de documentos materiais que comprovem aquilo"" - Deltan Dallagnol https://t.co/qIhY0grADX";196;877
52;Pela liberdade de Lula. Pela liberdade do povo brasileiro.  Jornada Lula Livre: 7 a 10 de abril #LiberdadeParaLula https://t.co/oPnMmcMFrh;1687;5753
53;Tem gente que confunde defender a soberania brasileira, independência e cabeça erguida com anti-americanismo. Está explicada a submissão atual. Ninguém respeita quem não se respeita. #timeLula #BrasilSoberano https://t.co/pdAoA1oKBx;2621;11142
54;"O crime de Moro foi claro, não foi indeterminado, não foi uma história sem pé nem cabeça de apartamento. Foi contra a democracia, para dar golpe. Virou ministro da ""Justiça"" do governo Bolsonaro. #timeLula https://t.co/JQ3O2QiV6p";1601;6138
